domain,N,M,too_small,D1_error,D2_max_gini,D2_transition,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D3_entropy,D4_h1_bars,D4_h1_persist,D4_h1_entropy,D4_h1_bars_norm,steward_rate,test_rate,doc_rate,mean_test_count,governance_score,D1_csi,D1_frag_onset,D1_n_comm,D1_modularity
domain_001,5,0,False,division by zero,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,,,,
domain_002,5,0,False,division by zero,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,,,,
domain_003,14,0,False,division by zero,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.047619047619047616,,,,
domain_004,26,0,False,division by zero,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.012820512820512822,,,,
domain_005,14,0,False,division by zero,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.07142857142857142,,,,
domain_006,1,0,True,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,
domain_007,4,0,True,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,
domain_008,14,0,False,division by zero,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,,,,
domain_009,10,0,False,division by zero,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.03333333333333333,,,,
domain_010,2,0,True,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,
domain_011,20,0,False,division by zero,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.16666666666666666,,,,
domain_012,35,63,False,,0.5676190476190476,0.0,0.16769941818800727,0.013588329512791179,0.8854956430859622,4.528856608585506,9.0,9.0,3.1699250014422993,0.2571428571428571,0.0,0.8571428571428571,0.9142857142857143,2.3142857142857145,0.5904761904761905,0.8421052631578947,0.16237767391887217,5.0,0.423384670884582
domain_013,3,0,True,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,
domain_014,5,4,False,,0.2,-1.0,1.0,0.2,0.25755695076332,1.5487949406953927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8421052631578947,1.438449888287663,1.0,-0.12883789168468884
domain_015,3,0,True,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,
domain_016,5,4,False,,0.2,-1.0,1.0,0.2,0.1838904240827001,1.5487949406953927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8421052631578947,1.438449888287663,1.0,-0.12883789168468884
domain_017,6,5,False,,0.16666666666666666,-1.0,1.0,0.16666666666666666,0.20192712740444288,1.7709505944546615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7894736842105263,1.1288378916846888,2.0,-0.12564707118144483
domain_018,6,5,False,,0.16666666666666666,-1.0,1.0,0.16666666666666666,0.21892926617229672,1.7709505944546615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7894736842105263,1.1288378916846888,2.0,-0.12564707118144483
domain_019,1,0,True,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.3333333333333333,,,,
domain_020,7,0,False,division by zero,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,,,,
domain_021,9,0,False,division by zero,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.2222222222222222,,,,
domain_022,5,4,False,,0.2,-1.0,1.0,0.2,0.18777934083550363,1.5487949406953927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8421052631578947,1.438449888287663,1.0,-0.12883789168468884
domain_023,6,0,False,division by zero,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.05555555555555555,,,,
domain_024,15,0,False,division by zero,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,,,,
domain_025,1,0,True,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.3333333333333333,,,,
domain_026,1,0,True,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,
