project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
astronomer__astronomer-cosmos,2023-04-13T09:48:22,ed5c79b28d585b9f8f97c48c70cffbb30616ecd3,Start using tilt for local dev (#230),5,5,False,0.7142857142857143,2,0.48,0.8299135133739665,0.18519918063274526,0.25426695155264845,0.2,1,1.0,0.0,3,0,0,2,5,1,5,0,0,0,2,5,2,0.4,1.0
astronomer__astronomer-cosmos,2023-07-25T15:53:53,e1ff9629a784ead2a7e4f5ef86d7a84e4f5abdf7,Initial implementation of simplifying config interfaces (#389),5,5,False,0.7142857142857143,2,0.48,0.8299135133739665,0.18519918063274526,0.2542669512656262,0.2,1,1.0,0.0,3,0,0,2,8,3,5,0,0,0,2,5,4,0.4,1.0
astronomer__astronomer-cosmos,2023-09-27T14:45:02,4c8d6b04590db112a904cea0260a4997b36542c4,Fix `DbtTestLocalOperator` when using `on_warning_callback` (#558),5,5,False,0.7142857142857143,2,0.48,0.8299135133739665,0.18519918063274526,0.25426695154458745,0.2,1,1.0,0.0,3,0,0,2,8,4,5,0,0,0,2,5,4,0.4,1.0
astronomer__astronomer-cosmos,2024-07-19T11:04:02,b25d5ea23806daa94a0ae45592ab488d4107f0f6,Fix empty tag in case of custom parser (#1100),5,5,False,0.7142857142857143,2,0.48,0.8299135133739665,0.18519918063274526,0.25426695146747763,0.2,1,1.0,0.0,3,0,0,2,8,4,5,0,0,0,2,5,4,0.4,1.0
astronomer__astronomer-cosmos,2024-08-14T03:53:16,a89389de32fd3fc140722ca925d5a28526fd8172,Add default source nodes rendering (#1107),5,5,False,0.7142857142857143,2,0.48,0.8299135133739665,0.18519918063274526,0.2542669515102932,0.2,1,1.0,0.0,3,0,0,2,8,4,5,0,0,0,2,5,5,0.4,1.0
astronomer__astronomer-cosmos,2024-12-30T13:59:05,7dc9411701bdbbdc580a34f59a7ea77a5b03668a,Fix rendering dbt tests with multiple parents (#1433),8,7,False,0.7142857142857143,2,0.48214285714285715,0.8299135133739665,0.18519918063274526,0.254266951174125,0.125,2,0.625,0.0,3,0,0,5,11,5,7,0,0,0,5,8,5,0.625,1.0
astronomer__astronomer-cosmos,2025-09-15T14:30:22,f63cba6307bc5592e6598f5eda506bd40c8dbd21,Fix running tests with dbt Fusion 2.0.0 preview versions (#1948),8,7,False,0.7142857142857143,2,0.48214285714285715,0.8299135133739665,0.18519918063274526,0.25426695138219785,0.125,2,0.625,0.0,3,0,0,5,11,5,7,0,0,0,5,8,5,0.625,1.0
astronomer__astronomer-cosmos,2025-10-22T09:30:57,a9fca6a74d287d4e62f6146ed55ab371d6189d08,Support Airflow 3.1 (#1980),8,7,False,0.7142857142857143,2,0.48214285714285715,0.8299135133739665,0.18519918063274526,0.25426695151414913,0.125,2,0.625,0.0,3,0,0,5,11,5,7,0,0,0,5,8,5,0.625,1.0
astronomer__astronomer-cosmos,2026-01-26T14:06:18,4134018f4a5deeed82f9a74e01828e4daed1d82a,Fix running empty models or ephemeral nodes in `ExecutionMode.WATCHER` (#2279),10,7,False,0.7142857142857143,2,0.5857142857142857,0.8299135133739665,0.18519918063274526,0.25426695150801043,0.1,4,0.5,0.2,3,0,0,7,13,6,7,0,0,0,7,8,6,0.7,0.8
astronomer__astronomer-cosmos,2026-01-29T16:39:34,0ce99549691716d1dbf9a03aa1ce7e21b4ad0bdd,Support cross-referencing models across dbt projects using dbt-loom (#2271),18,19,False,0.6428571428571429,3,0.6346801346801347,0.39148858606509934,0.06103430368790543,0.3758499885869515,0.2777777777777778,4,0.722222,0.111111,5,2,4,7,23,8,13,6,8,0,17,14,9,0.944444,0.777778
astronomer__astronomer-cosmos,2026-03-19T11:30:12,1d33b5512c55c6cf6cadd031f99662569fcf0824,Add integration test for creating a `TaskGroup` by dbt project folder (#2420),20,20,False,0.5714285714285714,4,0.6676470588235294,0.2762495108532658,0.04302482290240543,0.49039331855670987,0.25,5,0.7,0.15,6,2,5,7,26,9,14,6,8,0,17,14,9,0.85,0.7
astronomer__astronomer-cosmos,2026-04-23T11:35:41,3a138fde92e6c4422b6b64b70ad2e09d4495477a,Prevent watcher producer skip propagating to downstream tasks via gateway task (#2597),23,23,False,0.5714285714285714,4,0.6768507638072856,0.2762495108532658,0.04302482290240543,0.49039334536643425,0.21739130434782608,5,0.608696,0.086957,6,2,6,9,34,12,17,6,8,0,17,14,9,0.73913,0.608696
astronomer__astronomer-cosmos,2026-05-19T13:16:32,9029fb0f607360cb7792a647705332fa2973a100,Retry watcher downstream models on upstream-failure recovery (#2684),26,26,False,0.5714285714285714,4,0.6735241502683363,0.2762495108532658,0.04302482290240543,0.49039333535658197,0.19230769230769232,5,0.538462,0.076923,6,2,6,12,38,13,20,6,8,0,17,14,9,0.653846,0.538462
astronomer__astronomer-cosmos,2026-07-15T19:37:37,8ce76e5e43cb90ff0c0e3e625f9adf41bbdb4ccd,Add bidirectional cross-project dbt-loom example (#2883),30,30,False,0.5714285714285714,4,0.6702127659574468,0.27624951085326355,0.043024822902405106,0.49039315655447774,0.2,6,0.466667,0.066667,8,2,8,12,42,15,22,8,12,0,21,18,11,0.7,0.6
